Tomorrow_Direction,Date,Open,High,Low,Close,Volume,Range,ROC,Weekly_ROC,Standardized_Range_20,Standardized_ROC_20,Standardized_Weekly_ROC_20,Stochastic_20,Standardized_Close_20,Standardized_Volume_20,Day_of_Week,MACD_20_50,ADX_20
-1,2003.06.25,1.1515,1.1625,1.1494,1.1533,11089,0.0113973,0.0015632,-0.0129237,-0.1826634,0.2625508,-0.7593651,0.1230769,-1.6989194,0.1986073,3,0.01615779,24.40110061
1,2003.06.26,1.1534,1.1546,1.1414,1.1418,10675,0.0115647,-0.0100572,-0.0260172,-0.048185,-1.1020305,-1.7301043,0.007722,-2.3170029,-0.5232297,4,0.01416866,24.94889953
1,2003.06.27,1.1419,1.147,1.1399,1.1425,10052,0.0062286,0.0005254,-0.0132999,-1.3509054,0.2308555,-0.5704853,0.0487805,-1.9125656,-1.5504584,5,0.01242585,25.80255086
1,2003.06.30,1.143,1.1537,1.14,1.1524,9587,0.0120175,0.008224,-0.0022511,0.1703067,1.2214191,0.3663981,0.2345216,-1.0483614,-2.0638303,1,0.01141907,25.0312737
-1,2003.07.01,1.1523,1.1613,1.1507,1.1567,9568,0.0092118,0.0038185,0.0045158,-0.5964539,0.590436,0.8858355,0.315197,-0.6602481,-1.805785,2,0.01074214,22.79928359
-1,2003.07.02,1.1568,1.1572,1.1506,1.1532,9870,0.0057361,-0.003112,-0.0001734,-1.3948483,-0.3679591,0.4470986,0.249531,-0.8626807,-1.187777,3,0.0099175,20.74294977
-1,2003.07.03,1.1531,1.1543,1.1432,1.1498,9806,0.0097096,-0.0028619,0.0069183,-0.2942565,-0.2385236,0.9683522,0.1857411,-1.0135685,-1.1979369,4,0.00897314,20.16087566
-1,2003.07.04,1.1498,1.15,1.1446,1.1494,8639,0.0047178,-0.0003479,0.0055993,-1.8626059,0.0862471,0.8163199,0.1782364,-0.9483925,-2.448302,5,0.00809631,19.63423718
1,2003.07.08,1.1317,1.1356,1.1258,1.1317,12139,0.0087049,0,-0.0216978,-0.5225614,0.2203899,-1.1871717,0.0875371,-1.655735,2.1343588,2,0.00473299,22.24248314
1,2003.07.09,1.1318,1.137,1.1305,1.1351,11305,0.0057497,0.0029157,-0.0156101,-1.3542283,0.7512259,-0.6504592,0.1379822,-1.2981701,1.0476794,3,0.00353783,23.06219508
